time	acceleration
21.92	0.0391564800
21.94	0.0392584490
21.96	0.0346697990
21.98	0.0364032900
22.00	0.0008157600
22.02	-0.0259003790
22.04	-0.0469061980
22.06	-0.0480278670
22.08	-0.0226373400
22.10	-0.0066280498
22.12	0.0167230790
22.14	0.0361993490
22.16	0.0513928800
22.18	0.0378308670
22.20	0.0285515990
22.22	0.0161112600
22.24	0.0041807698
22.26	-0.0027531900
22.28	0.0021413698
22.30	0.0044866799
22.32	0.0100950290
22.34	0.0137659500
22.36	0.0095851793
22.38	0.0059142600
22.40	0.0022433400
22.42	-0.0031610698
22.44	-0.0031610698
22.46	0.0004078800
22.48	-0.0025492499
22.50	-0.0126442790
22.52	-0.0239629490
22.54	-0.0413998170
22.56	-0.0540440980
22.58	-0.0714809660
22.60	-0.0329363080
22.62	-0.0053024396
22.64	0.0095851793
22.66	0.0334461580
22.68	0.0487416580
22.70	0.0519027300
22.72	0.0365052580
22.74	0.0348737400
22.76	0.0312028190
22.78	0.0290614490
22.80	0.0268181080
22.82	0.0171309590
22.84	-0.0005098500
22.86	-0.0216176400
22.88	-0.0372190490
22.90	-0.0316106990
22.92	-0.0302850900
22.94	-0.0285515990
22.96	-0.0241668900
22.98	-0.0271240190
23.00	-0.0314067580
23.02	-0.0373210170
23.04	-0.0364032900
23.06	-0.0314067580
23.08	-0.0196802090
23.10	0.0019374299
23.12	0.0199861200
23.14	0.0163151990
23.16	0.0131541290
23.18	0.0142758000
23.20	0.0112167000
23.22	0.0110127600
23.24	0.0093812395
23.26	0.0090753293
23.28	0.0019374299
23.30	-0.0133580700
23.32	-0.0251865900
23.34	-0.0444589170
23.36	-0.0440510390
23.38	-0.0305909990
23.40	-0.0195782400
23.42	-0.0048945600
23.44	0.0098910895
23.46	0.0171309590
23.48	0.0150915600
23.50	0.0176408090
23.52	0.0079536599
23.54	-0.0059142600
23.56	-0.0219235490
23.58	-0.0238609790
23.60	0.0061181998
23.62	0.0267161400
23.64	0.0274299290
23.66	0.0085654793
23.68	-0.0041807698
23.70	-0.0231471900
23.72	-0.0077497196
23.74	0.0031610698
23.76	0.0185585400
23.78	0.0316106990
23.80	0.0488436300
23.82	0.0468042300
23.84	0.0169270200
23.86	-0.0059142600
23.88	-0.0403801170
23.90	-0.0452746800
23.92	-0.0245747700
23.94	-0.0102989700
23.96	0.0221274900
23.98	0.0266141690
24.00	0.0123383700
24.02	0.0008157600
24.04	-0.0171309590
24.06	-0.0389525390
24.08	-0.0577150160
24.10	-0.0796385660
24.12	-0.0631194290
24.14	-0.0261043190
24.16	0.0044866799
24.18	0.0464983170
24.20	0.0798425100
